Site,Region,Plot,Date,Oyster_1,Oyster_2,Oyster_3,Oyster_4,Oyster_5,Oyster_6,Oyster_7,Oyster_8,Blue_Mussel_1,Blue_Mussel_2,Blue_Mussel_3,Blue_Mussel_4,Blue_Mussel_5,Blue_Mussel_6,Blue_Mussel_7,Blue_Mussel_8,Blue_Mussel_9,Blue_Mussel_10,Blue_Mussel_11,Blue_Mussel_12,Blue_Mussel_13,Ribbed_Mussel_1,Ribbed_Mussel_2,Ribbed_Mussel_3,Ribbed_Mussel_4,Ribbed_Mussel_5,Ribbed_Mussel_6,Ribbed_Mussel_7,Ribbed_Mussel_8,Ribbed_Mussel_9,Ribbed_Mussel_10,Ribbed_Mussel_11,Ribbed_Mussel_12,Ribbed_Mussel_13,Ribbed_Mussel_14,Ribbed_Mussel_15,Ribbed_Mussel_16,Ribbed_Mussel_17,Ribbed_Mussel_18,Ribbed_Mussel_19,European_Oyster_1,European_Oyster_2,European_Oyster_3,European_Oyster_4,European_Oyster_5,Hard_Clam_1
Newcastle Commons,Portsmouth Harbor & Seavey Island,4,10/28/2024,,,,,,,,,23,45,7,56,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle Commons,Portsmouth Harbor & Seavey Island,5,10/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route 16 Northwest,Little Bay,1,10/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route 16 Northwest,Little Bay,2,10/28/2024,,,,,,,,,61,50,75,55,60,55,63,50,62,60,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route 16 Northwest,Little Bay,3,10/28/2024,,,,,,,,,65,66,57,53,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route 16 Northwest,Little Bay,4,10/28/2024,,,,,,,,,48,63,50,56,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route 16 Northwest,Little Bay,5,10/28/2024,,,,,,,,,56,33,52,65,44,63,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seacoast Science Center,Portsmouth Harbor & Seavey Island,1,10/29/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seacoast Science Center,Portsmouth Harbor & Seavey Island,2,10/29/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seacoast Science Center,Portsmouth Harbor & Seavey Island,3,10/29/2024,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seacoast Science Center,Portsmouth Harbor & Seavey Island,4,10/29/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seacoast Science Center,Portsmouth Harbor & Seavey Island,5,10/29/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wentworth Golf Course,Portsmouth Harbor & Seavey Island,1,10/29/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,
Wentworth Golf Course,Portsmouth Harbor & Seavey Island,2,10/29/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wentworth Golf Course,Portsmouth Harbor & Seavey Island,3,10/29/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wentworth Golf Course,Portsmouth Harbor & Seavey Island,4,10/29/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wentworth Golf Course,Portsmouth Harbor & Seavey Island,5,10/29/2024,,,,,,,,,61,45,60,42,63,69,29,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weeks Point,Great Bay,1,11/6/2024,80,,,,,,,,,,,,,,,,,,,,,78,72,64,70,79,,,,,,,,,,,,,,,,,,,,
Weeks Point,Great Bay,2,11/6/2024,77,,,,,,,,,,,,,,,,,,,,,33,93,81,,,,,,,,,,,,,,,,,,,,,,
Weeks Point,Great Bay,3,11/6/2024,85,,,,,,,,,,,,,,,,,,,,,60,64,6,,,,,,,,,,,,,,,,,,,,,,
Weeks Point,Great Bay,4,11/6/2024,42,45,41,80,35,50,68,88,,,,,,,,,,,,,,71,72,67,86,76,73,73,62,68,,,,,,,,,,,,,,,,
Weeks Point,Great Bay,5,11/6/2024,83,,,,,,,,,,,,,,,,,,,,,73,72,68,82,54,61,54,60,76,78,81,75,66,77,66,69,66,72,68,,,,,,
Bracketts Point,Great Bay,1,11/6/2024,40,39,,,,,,,,,,,,,,,,,,,,46,65,55,,,,,,,,,,,,,,,,,,,,,,
Bracketts Point,Great Bay,2,11/6/2024,60,69,45,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,
Bracketts Point,Great Bay,3,11/6/2024,59,32,42,44,53,,,,,,,,,,,,,,,,,61,79,64,69,,,,,,,,,,,,,,,,,,,,,
Bracketts Point,Great Bay,4,11/6/2024,102,23,,,,,,,,,,,,,,,,,,,,70,72,,,,,,,,,,,,,,,,,,,,,,,
Bracketts Point,Great Bay,5,11/6/2024,47,,,,,,,,,,,,,,,,,,,,,62,53,62,50,53,69,62,53,58,48,39,53,23,34,50,61,,,,,,,,,
Footman Island,Great Bay,1,11/7/2024,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footman Island,Great Bay,2,11/7/2024,29,40,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footman Island,Great Bay,3,11/7/2024,49,45,39,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,
Footman Island,Great Bay,4,11/7/2024,63,57,62,58,,,,,,,,,,,,,,,,,,58,70,,,,,,,,,,,,,,,,,,,,,,,
Footman Island,Great Bay,5,11/7/2024,50,50,,,,,,,,,,,,,,,,,,,,84,64,,,,,,,,,,,,,,,,,,,,,,,
Woodman Point,Great Bay,1,11/7/2024,42,31,46,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodman Point,Great Bay,2,11/7/2024,64,31,80,,,,,,,,,,,,,,,,,,,79,80,30,28,,,,,,,,,,,,,,,,,,,,,
Woodman Point,Great Bay,3,11/7/2024,38,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodman Point,Great Bay,4,11/7/2024,52,33,58,36,,,,,,,,,,,,,,,,,,39,63,57,68,65,71,41,67,33,56,73,45,39,45,,,,,,,,,,,
Woodman Point,Great Bay,5,11/7/2024,62,,,,,,,,,,,,,,,,,,,,,66,80,,,,,,,,,,,,,,,,,,,,,,,
Great Bay Refuge North,Little Bay,1,11/7/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Bay Refuge North,Little Bay,2,11/7/2024,80,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
Great Bay Refuge North,Little Bay,3,11/7/2024,48,42,47,53,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,
Great Bay Refuge North,Little Bay,4,11/7/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Bay Refuge North,Little Bay,5,11/7/2024,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagon Hill Farm East,Oyster River,1,11/20/2024,65,58,66,87,61,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagon Hill Farm East,Oyster River,2,11/20/2024,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagon Hill Farm East,Oyster River,3,11/20/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagon Hill Farm East,Oyster River,4,11/20/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagon Hill Farm East,Oyster River,5,11/20/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagon Hill Farm West,Oyster River,1,11/20/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagon Hill Farm East,Oyster River,2,11/20/2024,75,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagon Hill Farm East,Oyster River,3,11/20/2024,65,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagon Hill Farm East,Oyster River,4,11/20/2024,59,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagon Hill Farm East,Oyster River,5,11/20/2024,59,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Tree Island,Portsmouth Harbor & Seavey Island,1,11/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Tree Island,Portsmouth Harbor & Seavey Island,2,11/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Tree Island,Portsmouth Harbor & Seavey Island,3,11/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Tree Island,Portsmouth Harbor & Seavey Island,4,11/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Tree Island,Portsmouth Harbor & Seavey Island,5,11/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spur Road,Bellamy River,1,11/21/2024,29,65,20,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spur Road,Bellamy River,2,11/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spur Road,Bellamy River,3,11/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spur Road,Bellamy River,4,11/21/2024,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spur Road,Bellamy River,5,11/21/2024,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,
Hislop Field,Piscataqua River,1,11/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hislop Field,Piscataqua River,2,11/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hislop Field,Piscataqua River,3,11/22/2024,,,,,,,,,55,50,50,54,48,40,54,50,47,45,49,48,56,,,,,,,,,,,,,,,,,,,,,,,,,
Hislop Field,Piscataqua River,4,11/22/2024,,,,,,,,,66,56,43,57,67,52,56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hislop Field,Piscataqua River,5,11/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patterson Lane,Piscataqua River,1,11/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patterson Lane,Piscataqua River,2,11/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patterson Lane,Piscataqua River,3,11/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patterson Lane,Piscataqua River,4,11/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patterson Lane,Piscataqua River,5,11/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Duck Boat Ramp,Piscataqua River,1,45632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Duck Boat Ramp,Piscataqua River,2,45632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Duck Boat Ramp,Piscataqua River,3,45632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Duck Boat Ramp,Piscataqua River,4,45632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Duck Boat Ramp,Piscataqua River,5,45632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carters Rock,Piscataqua River,1,45639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carters Rock,Piscataqua River,2,45639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carters Rock,Piscataqua River,3,45639,45,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carters Rock,Piscataqua River,4,45639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carters Rock,Piscataqua River,5,45639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
