OBJECTID,Site,Region,Plot,Date,RTK_Waypoint,Elevation_NAVD88m,Longitude,Latitude,Total_Rockweed_Cover____,Bare_Cover____,Ascophyllum_nodosum,Chondrus__crispus,Fucus__vesiculosus,Grassileria,Saccharina,Ulva,Vertebrata_lanosa,Green_Algae,Unknown,Canopy_Depth__cm_,Canopy_Length___cm_,Ascophyllum_Age__yrs_,Substrate,Hardened,Plot_1_Alive_Oysters,Plot_1_Dead_Oysters,Plot_1_Mean_Oyster_Height__mm_,Plot_2_Alive_Oysters,Plot_2_Dead_Oysters,Plot_2_Mean_Oyster_Height__mm_,Plot_2__Direction,Oyster_Density______m2_,Total_Oyster_Boxes_Found,Plot_1_Alive_Blue_Mussels,Plot_1_Dead_Blue_Mussels,Plot_1_Mean_Blue_Mussel_Height__mm_,Plot_2_Alive_Blue_Mussels,Plot_2_Dead_Blue_Mussels,Plot_2_Mean_Blue_Mussel_Height__mm_,Plot_2___1,Blue_Mussel_Density______m2_,Total_Blue_Mussel_Boxes_Found,Blue_Mussel_Plot_Height__mm_,Plot_1_Alive_Ribbed_Mussels,Plot_1_Dead_Ribbed_Mussels,Plot_1_Mean_Ribbed_Mussel_Height__mm_,Plot_2_Alive_Ribbed_Mussels,Plot_2_Dead_Ribbed_Mussels,Plot_2_Mean_Ribbed_Mussel_Height__mm_,Plot_2___2,Ribbed_Mussel_Density______m2_,Total_Ribbed_Mussel_Boxes_Found,RibbedMussel_Plot_Height__mm_,Notes,BAI_Extracted,Lidar_Extracted,NDWI_Extracted,RBR_Extracted
11,Bunker Creek,Oyster River,1,9/30/2024,11,0.034,-70.88600159,43.13345337,80,20,20,,60,,,,,,,6,34,5,Cobble,Yes,0,0,,0,1,,East,0,1,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,Plot on culvert infrastructure,-0.144444451,0.489048541,0.144444451,0.067961164
12,Bunker Creek,Oyster River,2,9/30/2024,12,-0.088,-70.88605499,43.13348389,75,25,20,,55,,,,,,,6,24,4,Cobble,Yes,0,0,,0,1,,East,0,1,0,0,,0,0,,East,0,0,,0,0,,1,1,15,East,1.428571429,1,15,Plot on culvert infrastructure,-0.128767118,0.382714868,0.128767118,0.046454769
13,Bunker Creek,Oyster River,3,9/30/2024,13,0.347,-70.88592529,43.13339615,90,10,90,,,,,,,,,6,47,8,Boulder,No,1,0,,41,,,,2.857142857,0,0,0,,,,,,0,0,,0,0,,1,0,52,,0,0,52,,0.069767445,0.312638044,-0.069767445,-0.065789476
14,Bunker Creek,Oyster River,4,9/30/2024,15,0.139,-70.88595581,43.13336182,85,15,85,,,,,,,,,5,44,9,Boulder,No,0,7,,2,7,54.5,North,2.857142857,14,0,0,,0,0,,North,0,0,,1,0,54,1,0,61,North,2.857142857,0,61,,0.100000001,-0.331398666,-0.100000001,0.029787235
15,Bunker Creek,Oyster River,5,9/30/2024,14,0.284,-70.88596344,43.13331223,87,13,80,,7,,,,,,,5,47,9,Boulder,No,0,1,,2,0,31.5,North,2.857142857,1,0,0,,0,0,,North,0,0,,0,0,,3,0,69,North,4.285714286,0,69,,0.191222563,-0.343349427,-0.191222563,0.058064517
16,Cedar Point,Bellamy River,1,10/3/2024,17,0.226,-70.85224915,43.13021088,95,5,95,,,,,,,,,14,77,8,Cobble,Yes,1,1,45,,,,,2.857142857,1,0,0,,,,,,0,0,,0,0,,,,,,0,0,,,0.081967212,0.779749215,-0.081967212,0
17,Cedar Point,Bellamy River,2,10/3/2024,21,0.367,-70.85220337,43.13019562,95,5,90,,5,,,,,,,9,101,8,Boulder,Yes,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.021806853,0.66642952,-0.021806853,0.041825093
18,Cedar Point,Bellamy River,3,10/3/2024,18,-0.231,-70.85205841,43.13018417,100,0,100,,,,,,,,,7,63,7,Boulder,No,1,0,38,,,,,2.857142857,0,0,0,,,,,,0,0,,0,0,,,,,,0,0,,Plot seaward of hardened infrastructure in mudflat,0.07333333,-0.111405872,-0.07333333,0.007407407
19,Cedar Point,Bellamy River,4,10/3/2024,19,-0.021,-70.85197449,43.13014603,98,2,96,,2,,,,,,,6,101,7,Boulder,Yes,0,1,,0,0,,East,0,1,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.092024542,0.03007916,-0.092024542,0.111940302
20,Cedar Point,Bellamy River,5,10/3/2024,20,-0.404,-70.85185242,43.13013077,100,0,85,,15,,,,,,,7,102,8,Cobble,No,1,0,39,,,,,2.857142857,0,0,0,,,,,,0,0,,0,0,,,,,,0,0,,Plot seaward of hardened infrastructure in mudflat,0.20714286,-0.196602315,-0.20714286,0.047297299
21,Route 16 Northwest,Piscataqua River,1,10/8/2024,23,0.105,-70.826828,43.12072372,62,38,60,,2,,,,,,,8,9,,Mudflat - Sand,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,"No Ascophyllum rooted in plot, Fucus measured",0.144414172,-0.081654087,-0.144414172,-0.004405286
22,Route 16 Northwest,Piscataqua River,2,10/8/2024,25,-0.134,-70.82676697,43.12070084,98,2,98,,,,,,,,,15,114,16,Mudflat - Sand,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.185983822,-0.177623674,-0.185983822,0.041666668
23,Route 16 Northwest,Piscataqua River,3,10/8/2024,24,-0.54,-70.8266983,43.12069702,100,0,99,,1,,,,,,,8,31,4,Gravel,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.269624561,-0.558217585,-0.269624561,0.021276595
24,Route 16 Northwest,Piscataqua River,4,10/8/2024,26,-0.442,-70.82662201,43.12060165,100,0,100,,,,,,,,,15,89,11,Boulder,Yes,0,0,,0,0,,East,0,0,1,0,46,1,0,46,East,2.857142857,0,46,0,0,,0,0,,East,0,0,,Plot on boulders part of shoreline armoring,0.28990227,-0.525653303,-0.28990227,0.03846154
25,Route 16 Northwest,Piscataqua River,5,10/8/2024,32,-0.727,-70.82663727,43.12067795,95,5,95,,,,,,,,,6,30,5,Gravel,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.232876718,-0.707462728,-0.232876718,-0.072796933
26,Dover Point,Cocheco - Salmon Falls Rivers,1,10/8/2024,27,-0.446,-70.82918549,43.12405777,80,20,80,,,,,,,,,10,,,Mudflat - Sand,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,No macroalgae rooted in plot,0.157894731,-0.431652129,-0.157894731,0.027027028
27,Dover Point,Cocheco - Salmon Falls Rivers,2,10/8/2024,28,-0.491,-70.82923126,43.12417603,100,0,100,,,,,,,,,12,32,5,Mudflat - Sand,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.203296706,-0.468830824,-0.203296706,0.040540539
28,Dover Point,Cocheco - Salmon Falls Rivers,3,10/8/2024,29,-0.485,-70.82919312,43.12422562,95,5,95,,,,,,,,,9,133,13,Boulder,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.303135902,-0.669812322,-0.303135902,-0.060109291
29,Dover Point,Cocheco - Salmon Falls Rivers,4,10/8/2024,30,-0.483,-70.8292923,43.1243248,100,0,100,,,,,,,,,13,166,13,Boulder,No,0,0,,0,1,,East,0,1,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.235880405,-0.42746824,-0.235880405,0.091954023
30,Dover Point,Cocheco - Salmon Falls Rivers,5,10/8/2024,31,-0.273,-70.82946014,43.12432098,100,0,100,,,,,,,,,10,46,9,Boulder,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,Oyster just outside plot,0.232876718,-0.258532226,-0.232876718,0.017064847
31,Newcastle Ave,Portsmouth Harbor & Seavey Island,1,10/28/2024,33,-0.929,-70.73221588,43.07197571,90,10,10,,80,,,,,,,8,6,6,Gravel,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,-0.204301074,-1.197446108,0.204301074,-0.032258064
32,Newcastle Ave,Portsmouth Harbor & Seavey Island,2,10/28/2024,34,0.151,-70.73213196,43.07192612,95,5,95,,,,,,,,,6,14,14,Boulder,Yes,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.350819677,-0.314026535,-0.350819677,-0.069958851
33,Newcastle Ave,Portsmouth Harbor & Seavey Island,3,10/28/2024,35,-1.034,-70.73205566,43.07196045,92,8,62,,30,,,,,,,6,5,5,Boulder,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,-0.25373134,-1.218275666,0.25373134,-0.04587156
34,Newcastle Ave,Portsmouth Harbor & Seavey Island,4,10/28/2024,36,-0.817,-70.73194885,43.07192993,97,3,95,,2,,,,,,,7,8,8,Mudflat - Sand,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,-0.223880604,-1.009048462,0.223880604,0.049056605
35,Newcastle Ave,Portsmouth Harbor & Seavey Island,5,10/28/2024,37,-0.494,-70.73187256,43.07190323,100,0,100,,,,,,,,,18,13,13,Boulder,Yes,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.353951901,-0.845853388,-0.353951901,-0.069230773
36,Newcastle Commons,Portsmouth Harbor & Seavey Island,1,10/28/2024,38,-1.047,-70.71176147,43.06977081,65,10,60,,5,,,,25,,,4,42,8,Boulder,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.253246754,-1.020251036,-0.253246754,0
37,Newcastle Commons,Portsmouth Harbor & Seavey Island,2,10/28/2024,39,-1.162,-70.7116394,43.06979752,78,2,25,5,53,,,,15,,,6,5,,Boulder,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,"Canopy length from seaweed Chondrus crispus - no rockweed in plot,
Plot was partially a tidepool",0.29192546,-0.850533128,-0.29192546,-0.06122449
38,Newcastle Commons,Portsmouth Harbor & Seavey Island,3,10/28/2024,40,-0.477,-70.71157074,43.06985092,93,0,90,,3,,,,7,,,12,57,7,Boulder,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.273809522,-0.156464055,-0.273809522,0.054151624
39,Newcastle Commons,Portsmouth Harbor & Seavey Island,4,10/28/2024,41,-0.276,-70.71148682,43.06988907,98,0,98,,,,,,2,,,8,102,10,Boulder,No,0,0,,0,0,,North,0,0,3,0,25,2,0,48.5,North,7.142857143,0,34.4,0,0,,0,0,,North,0,0,,,0.311178237,0.076602496,-0.311178237,0.019607844
40,Newcastle Commons,Portsmouth Harbor & Seavey Island,5,10/28/2024,42,0.087,-70.71141815,43.06996155,99,0,98,,1,,,,1,,,4,107,10,Boulder,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.306859195,0.146961555,-0.306859195,0.033613447
41,Hilton Park,Little Bay,1,10/28/2024,43,-0.923,-70.82807159,43.11905289,98,2,98,,,,,,,,,12,88,8,Boulder,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.218130305,-0.964851618,-0.218130305,-0.071428575
42,Hilton Park,Little Bay,2,10/28/2024,44,-0.984,-70.82796478,43.1190033,94,2,94,,,,,4,,,,12,96,9,Gravel,No,0,0,,0,0,,East,0,0,6,0,51,5,0,55.6,East,15.71428571,0,57.63636364,0,0,,0,0,,East,0,0,,,0.368770778,-0.929246485,-0.368770778,-0.076271184
43,Hilton Park,Little Bay,3,10/28/2024,45,-0.868,-70.82781982,43.11906815,100,0,100,,,,,,,,,11,151,8,Gravel,No,0,0,,0,0,,East,0,0,2,1,65.5,3,0,55.33333333,East,7.142857143,1,59.4,0,0,,0,0,,East,0,0,,,0.277777791,-0.914241076,-0.277777791,-0.08791209
44,Hilton Park,Little Bay,4,10/28/2024,46,-0.779,-70.82784271,43.11913681,90,10,75,,15,,,,,,,12,47,7,Gravel,No,0,0,,0,0,,East,0,0,2,0,55.5,3,1,54.66666667,East,7.142857143,1,55,0,0,,0,0,,East,0,0,,,0.347560972,-0.688390076,-0.347560972,-0.084745765
45,Hilton Park,Little Bay,5,10/28/2024,47,-0.605,-70.82783508,43.11922073,85,15,82,,3,,,,,,,10,53,6,Cobble,No,0,0,,0,0,,East,0,0,2,1,44.5,4,1,56,East,8.571428571,2,52.16666667,0,0,,0,0,,East,0,0,,,0.358255446,-0.48890236,-0.358255446,-0.005649718
46,Seacoast Science Center,Portsmouth Harbor & Seavey Island,1,10/29/2024,53,0.015,-70.71189117,43.04402542,98,0,98,,,,,,2,,,16,128,10,Cobble,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,,,,,,,North,0,0,,,0.27439025,-1.889763713,-0.27439025,-0.030303031
47,Seacoast Science Center,Portsmouth Harbor & Seavey Island,2,10/29/2024,54,-0.605,-70.71183777,43.04410553,96,0,96,,,,,,4,,,8,73,6,Cobble,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,,,,,,,North,0,0,,,0.309904158,-1.889763713,-0.309904158,-0.025641026
48,Seacoast Science Center,Portsmouth Harbor & Seavey Island,3,10/29/2024,55,-0.872,-70.71179962,43.04417038,75,0,75,,,,,,25,,,11,4,,Cobble,No,0,0,,0,0,,North,0,0,0,0,,1,0,7,North,1.428571429,0,7,,,,,,,North,0,0,,"Only Chondrus crispus attached in plot, length from the red algae",0.277258575,-1.889763713,-0.277258575,-0.056910571
49,Seacoast Science Center,Portsmouth Harbor & Seavey Island,4,10/29/2024,56,-0.921,-70.71176147,43.04421616,48,9,8,30,40,,3,,10,,,8,47,,Cobble,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,,,,,,,North,0,0,,Fucus measured for length,0.328571439,-1.889763713,-0.328571439,-0.095541403
50,Seacoast Science Center,Portsmouth Harbor & Seavey Island,5,10/29/2024,57,-0.944,-70.71176147,43.04429245,49,0,49,25,,,,1,25,,,11,7,,Cobble,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,,,,,,,North,0,0,,"Only Chondrus crispus attached in plot, length from the red algae",0.101265825,-1.889763713,-0.101265825,-0.089820363
51,Wentworth Golf Course,Portsmouth Harbor & Seavey Island,1,10/29/2024,48,-0.067,-70.73005676,43.05361938,98,2,98,,,,,,,,,7,110,15,Boulder,No,0,0,,1,0,40,North,1.428571429,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.242524922,-0.335429311,-0.242524922,0.115537852
52,Wentworth Golf Course,Portsmouth Harbor & Seavey Island,2,10/29/2024,49,0.052,-70.7299881,43.05366516,100,0,100,,,,,,,,,9,161,14,Boulder,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.270029664,-0.043377392,-0.270029664,0.113924049
53,Wentworth Golf Course,Portsmouth Harbor & Seavey Island,3,10/29/2024,50,-0.213,-70.72979736,43.05375671,100,0,100,,,,,,,,,12,145,13,Boulder,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.303030312,-0.268068433,-0.303030312,0.023076924
54,Wentworth Golf Course,Portsmouth Harbor & Seavey Island,4,10/29/2024,51,-0.69,-70.72975922,43.0538063,100,0,100,,,,,,,,,8,148,12,Boulder,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.383050859,-0.829562187,-0.383050859,0.063829787
55,Wentworth Golf Course,Portsmouth Harbor & Seavey Island,5,10/29/2024,52,-1.187,-70.72984314,43.05385208,100,0,100,,,,,,,,,10,38,5,Boulder,No,0,0,,0,0,,North,0,0,4,0,52,4,0,56.5,North,11.42857143,0,54.25,0,0,,0,0,,North,0,0,,,0.223628685,-1.237288475,-0.223628685,0.088372096
56,Weeks Point,Great Bay,1,11/6/2024,58,-0.606,-70.88034821,43.05950928,40,60,40,,,,,,,,,3,,,Cobble,No,1,2,80,,,,,2.857142857,2,0,0,,,,,,0,0,,5,0,72.6,,,,,14.28571429,0,72.6,,0.097560972,-0.456381917,-0.097560972,-0.113513514
57,Weeks Point,Great Bay,2,11/6/2024,59,-0.703,-70.8804245,43.05945969,85,15,85,,,,,,,,,4.5,25,4,Mudflat - Sand,No,0,0,,1,0,77,East,1.428571429,0,0,0,,0,0,,East,0,0,,1,0,33,2,0,87,East,4.285714286,0,69,,-0.306930691,-0.645680666,0.306930691,-0.012145749
58,Weeks Point,Great Bay,3,11/6/2024,60,-0.31,-70.88050079,43.05935669,90,10,90,,,,,,,,,4,,,Mudflat - Sand,No,1,0,85,,,,,2.857142857,0,0,0,,,,,,0,0,,3,0,63.33333333,,,,,8.571428571,0,63.33333333,,0.123893805,-0.226341888,-0.123893805,-0.028571429
59,Weeks Point,Great Bay,4,11/6/2024,61,-0.383,-70.88058472,43.05932236,95,5,95,,,,,,,,,7,92,7,Boulder,No,8,4,56.125,,,,,22.85714286,4,0,0,,,,,,0,0,,9,0,72,,,,,25.71428571,0,72,,0.102362208,-0.305385858,-0.102362208,-0.00877193
60,Weeks Point,Great Bay,5,11/6/2024,62,-0.397,-70.88066101,43.05926132,75,25,75,,,,,,,,,5,88,8,Boulder,No,1,2,83,,,,,2.857142857,2,0,0,,,,,,0,0,,19,0,69.4,1,,58,,54.28571429,0,68.85714286,,0.079245284,-0.273517579,-0.079245284,-0.020576132
61,Bracketts Point,Great Bay,1,11/6/2024,63,-0.17,-70.87391663,43.06005096,100,0,100,,,,,,,,,6,84,7,Boulder,No,2,0,39.5,,,,,5.714285714,0,0,0,,,,,,0,0,,3,0,55.33333333,,,,,8.571428571,0,55.33333333,,0.209459454,-0.175862387,-0.209459454,0.241379306
62,Bracketts Point,Great Bay,2,11/6/2024,65,-0.893,-70.87399292,43.06008148,3,97,3,,,,,,,,,2,,,Gravel,No,3,1,58,,,,,8.571428571,1,0,0,,,,,,0,0,,1,0,44,,,,,2.857142857,0,44,,-0.10204082,-1.183988094,0.10204082,0.016574586
63,Bracketts Point,Great Bay,3,11/6/2024,65,-0.484,-70.8740921,43.06001282,100,0,100,,,,,,,,,8,133,14,Boulder,No,5,1,46,,,,,14.28571429,1,0,0,,,,,,0,0,,4,0,68.25,,,,,11.42857143,0,68.25,,0.165803105,-0.415510446,-0.165803105,0.042105265
64,Bracketts Point,Great Bay,4,11/6/2024,66,-0.833,-70.87428284,43.05999374,80,20,80,,,,,,,,,8,33,6,Boulder,No,2,1,62.5,,,,,5.714285714,1,0,0,,,,,,0,0,,2,0,71,,,,,5.714285714,0,71,,0.142857149,-1.499923706,-0.142857149,0.126050428
65,Bracketts Point,Great Bay,5,11/6/2024,67,-0.286,-70.8741684,43.05988693,100,0,100,,,,,,,,,7,96,8,Boulder,No,1,0,47,,,,,2.857142857,0,0,0,,,,,,0,0,,16,0,51.9375,,,,,45.71428571,0,51.9375,,0.200000003,-0.322889954,-0.200000003,0.043478262
66,Footman Island,Great Bay,1,11/7/2024,68,-0.109,-70.87135315,43.08639526,100,0,100,,,,,,,,,12,94,10,Boulder,No,0,0,,1,0,43,North,1.428571429,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,Secondary substrare - Cobble,0.217391297,-1.499923706,-0.217391297,0.034782607
67,Footman Island,Great Bay,2,11/7/2024,69,-0.352,-70.87137604,43.0863266,100,0,100,,,,,,,,,14,112,10,Boulder,No,3,2,40.66666667,,,,,8.571428571,2,0,0,,,,,,0,0,,0,0,,,,,,0,0,,,0.301886797,-1.499923706,-0.301886797,0.041860465
68,Footman Island,Great Bay,3,11/7/2024,70,-0.473,-70.87142181,43.0862999,100,0,100,,,,,,,,,8,102,9,Cobble,No,0,1,,3,0,44.33333333,North,4.285714286,1,0,0,,0,0,,North,0,0,,1,0,73,0,0,,North,1.428571429,0,73,Note - substrate shifted to Boulder for Plot 2,0.28930819,-1.499923706,-0.28930819,0.107843138
69,Footman Island,Great Bay,4,11/7/2024,72,-0.352,-70.87163544,43.08623123,100,0,100,,,,,,,,,9,113,8,Cobble,No,4,0,60,,,,,11.42857143,0,0,0,,,,,,0,0,,2,0,64,,,,,5.714285714,0,64,,0.333333343,-1.499923706,-0.333333343,0.027932961
70,Footman Island,Great Bay,5,11/7/2024,71,-0.373,-70.87197876,43.08625793,97,3,82,,15,,,,,,,4,,,Cobble,No,2,0,50,,,,,5.714285714,0,0,0,,,,,,0,0,,2,0,74,,,,,5.714285714,0,74,No rockweed rooted in the substrate,0.359735966,-1.499923706,-0.359735966,0.072072074
71,Woodman Point,Great Bay,1,11/7/2024,73,-0.605,-70.8613205,43.07144547,87,13,87,,,,,,,,,9,33,4,Boulder,No,4,0,39.25,,,,,11.42857143,0,0,0,,,,,,0,0,,0,0,,,,,,0,0,,Note - Fucus was longest rockweed in plot; Ascophyllum was 29 cm,0.205479458,-0.361865759,-0.205479458,0.022222223
72,Woodman Point,Great Bay,2,11/7/2024,74,-0.372,-70.86141205,43.07139969,93,5,90,,3,,,2,,,,5,92,7,Cobble,No,3,3,58.33333333,,,,,8.571428571,3,0,0,,,,,,0,0,,4,0,54.25,,,,,11.42857143,0,54.25,,0.179775283,-0.176094294,-0.179775283,0.07692308
73,Woodman Point,Great Bay,3,11/7/2024,75,-0.117,-70.86151886,43.07130814,96,2,96,,,,,2,,,,6,118,9,Boulder,No,2,0,41.5,,,,,5.714285714,0,0,0,,,,,,0,0,,0,0,,,,,,0,0,,,0.187251002,-0.035040576,-0.187251002,0.053658538
74,Woodman Point,Great Bay,4,11/7/2024,76,-0.454,-70.86162567,43.07134247,100,0,100,,,,,,,,,6,118,8,Boulder,No,4,1,44.75,,,,,11.42857143,1,0,0,,,,,,0,0,,14,0,54.42857143,,,,,40,0,54.42857143,,0.280487806,-0.458331615,-0.280487806,-0.010989011
75,Woodman Point,Great Bay,5,11/7/2024,78,-0.77,-70.86182404,43.0716362,15,23,15,,,45,,7,,,10,5,,,Mudflat - Sand,No,1,0,62,8,0,55.5,North,12.85714286,0,0,0,,0,0,,North,0,0,,1,0,66,1,0,80,North,2.857142857,0,73,Note- washer fell off boulder and we didn't feel the first plot was an accurate representation of the area/where the washer landed. Combined two plots,0.18727915,-0.715087354,-0.18727915,-0.032967035
76,Great Bay Refuge North,Little Bay,1,11/7/2024,79,-0.283,-70.85817719,43.09272766,100,0,100,,,,,,,,,13,117,11,Boulder,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.254237294,-0.208640665,-0.254237294,-0.027322404
